period,department,category,transaction_count,total_amount,budget,variance,budget_utilization_pct,variance_pct,budget_available,avg_transaction_value,spending_deviation_pct,transaction_count_deviation_pct,period_total_spending,period_spending_change_pct,rolling_3m_avg_spending,rolling_spending_deviation_pct,high_budget_utilization,high_spending_deviation,high_transaction_deviation,large_period_change,large_rolling_deviation,anomaly_score,is_anomaly,anomaly_signals
2025-01,Customer Support,Outsourcing,79,906916.46,913791.7,-6875.239999999991,99.24761408973184,-0.7523859102681707,1,11479.955189873415,0.9036403479660228,0.7082152974504269,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Customer Support,Product Sales,56,1273072.74,,,,,0,22733.441785714287,9.997397510625484,11.25827814569536,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Customer Support,Service Revenue,50,1125824.05,,,,,0,22516.481,3.0655986279599,6.257378984651709,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Customer Support,Software,82,724787.64,737863.28,-13075.640000000014,98.2279047684823,-1.772095231517689,1,8838.873658536586,2.2709782472902886,9.414381022979986,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Customer Support,Subscription,60,1456901.64,,,,,0,24281.694,34.795807411515746,26.90951821386604,53363242.28,,53363242.28,0.0,False,True,True,False,False,2,1,"high spending deviation, high transaction deviation"
2025-01,Customer Support,Support Tools,69,658831.34,640835.18,17996.159999999916,102.8082353406378,2.808235340637809,1,9548.280289855073,-12.701381825806418,-13.929313929313937,53363242.28,,53363242.28,0.0,True,False,False,False,False,1,0,high budget utilization
2025-01,Customer Support,Training,77,483785.12,477200.44,6584.679999999993,101.37985622980564,1.3798562298056545,1,6282.923636363636,-11.45688325166517,0.9468317552804162,53363242.28,,53363242.28,0.0,True,False,False,False,False,1,0,high budget utilization
2025-01,Customer Support,Transaction Fees,31,721542.13,,,,,0,23275.55258064516,-32.509748872240465,-35.26682134570765,53363242.28,,53363242.28,0.0,False,True,True,False,False,2,1,"high spending deviation, high transaction deviation"
2025-01,Finance,Audit,49,276168.7,270906.81,5261.890000000014,101.9423247425932,1.942324742593224,1,5636.095918367348,-23.22320482548258,-4.751619870410364,53363242.28,,53363242.28,0.0,True,True,False,False,False,2,1,"high budget utilization, high spending deviation"
2025-01,Finance,Bank Charges,62,278818.88,258334.99,20483.89000000001,107.92919689276316,7.929196892763157,1,4497.078709677419,19.364466925143414,20.910075839653302,53363242.28,,53363242.28,0.0,True,False,True,False,False,2,1,"high budget utilization, high transaction deviation"
2025-01,Finance,Product Sales,34,768315.04,,,,,0,22597.50117647059,11.505435665863091,9.481216457960638,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Finance,Professional Services,41,304774.6,297935.58,6839.01999999996,102.29546937629938,2.295469376299387,1,7433.526829268292,-15.849738603722749,-11.51079136690648,53363242.28,,53363242.28,0.0,True,False,False,False,False,1,0,high budget utilization
2025-01,Finance,Service Revenue,27,588653.71,,,,,0,21801.98925925926,-19.504824380487563,-14.285714285714285,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Finance,Software,51,320562.13,299194.94,21367.19,107.14156128442546,7.141561284425466,1,6285.531960784314,-4.024926886582689,-0.4338394793926232,53363242.28,,53363242.28,0.0,True,False,False,False,False,1,0,high budget utilization
2025-01,Finance,Subscription,27,604518.42,,,,,0,22389.571111111112,-10.18169659406337,-12.115732368896923,53363242.28,,53363242.28,0.0,False,False,False,False,False,0,0,
2025-01,Finance,Transaction Fees,21,579090.39,,,,,0,27575.73285714286,-17.63652005944925,-31.768953068592054,53363242.28,,53363242.28,0.0,False,False,True,False,False,1,0,high transaction deviation
