transaction_id,date,department,category,vendor,region,transaction_type,amount,payment_method,description
TXN100000,2025-01-01,Sales,Commissions,SalesPartners,West,Expense,22477.74,Credit Card,Commissions transaction for Sales
TXN100001,2025-01-01,Customer Support,Service Revenue,Customer_E,West,Revenue,17920.46,Bank Transfer,Service Revenue transaction for Customer Support
TXN100002,2025-01-01,Finance,Subscription,Customer_C,West,Revenue,14017.17,Debit Card,Subscription transaction for Finance
TXN100003,2025-01-01,Sales,Commissions,SalesPartners,South,Expense,6900.02,Bank Transfer,Commissions transaction for Sales
TXN100004,2025-01-01,IT,Cloud Services,DataCloud,South,Expense,10066.59,Debit Card,Cloud Services transaction for IT
TXN100005,2025-01-01,Customer Support,Subscription,Customer_E,East,Revenue,45568.59,Bank Transfer,Subscription transaction for Customer Support
TXN100006,2025-01-01,Sales,Product Sales,Customer_D,South,Revenue,7823.27,UPI,Product Sales transaction for Sales
TXN100007,2025-01-01,IT,Subscription,Customer_B,South,Revenue,34471.65,UPI,Subscription transaction for IT
TXN100008,2025-01-01,Marketing,Software,CloudSuite,North,Expense,6126.92,Debit Card,Software transaction for Marketing
TXN100009,2025-01-01,Customer Support,Training,SkillWorks,South,Expense,4415.28,Bank Transfer,Training transaction for Customer Support
TXN100010,2025-01-01,Operations,Product Sales,Customer_E,North,Revenue,40468.3,UPI,Product Sales transaction for Operations
TXN100011,2025-01-01,HR,Training,SkillWorks,West,Expense,6353.26,Debit Card,Training transaction for HR
TXN100012,2025-01-01,HR,Subscription,Customer_E,North,Revenue,10142.18,Bank Transfer,Subscription transaction for HR
TXN100013,2025-01-01,Finance,Transaction Fees,Customer_D,South,Revenue,10854.62,UPI,Transaction Fees transaction for Finance
TXN100014,2025-01-01,Customer Support,Support Tools,SupportCloud,North,Expense,12099.81,Debit Card,Support Tools transaction for Customer Support
TXN100015,2025-01-01,HR,Software,CloudSuite,South,Expense,4526.52,UPI,Software transaction for HR
TXN100016,2025-01-01,Sales,Product Sales,Customer_C,West,Revenue,41580.56,Credit Card,Product Sales transaction for Sales
TXN100017,2025-01-01,IT,Software,CloudSuite,North,Expense,11407.34,Bank Transfer,Software transaction for IT
TXN100018,2025-01-01,Operations,Transaction Fees,Customer_E,North,Revenue,35309.81,UPI,Transaction Fees transaction for Operations
TXN100019,2025-01-01,IT,Subscription,Customer_E,South,Revenue,29604.92,Bank Transfer,Subscription transaction for IT
TXN100020,2025-01-01,Customer Support,Outsourcing,ServiceDesk,South,Expense,5076.95,Credit Card,Outsourcing transaction for Customer Support
TXN100021,2025-01-01,Marketing,Content,MediaCraft,East,Expense,9576.76,UPI,Content transaction for Marketing
TXN100022,2025-01-01,Marketing,Service Revenue,Customer_C,West,Revenue,83998.18,UPI,Service Revenue transaction for Marketing
TXN100023,2025-01-01,Operations,Logistics,FastFreight,West,Expense,10252.06,Direct Debit,Logistics transaction for Operations
TXN100024,2025-01-01,Sales,Travel,StaySmart,North,Expense,1981.77,Credit Card,Travel transaction for Sales
TXN100025,2025-01-01,Marketing,Transaction Fees,Customer_D,West,Revenue,13650.97,Credit Card,Transaction Fees transaction for Marketing
TXN100026,2025-01-01,IT,Product Sales,Customer_B,North,Revenue,10635.25,Bank Transfer,Product Sales transaction for IT
TXN100027,2025-01-01,HR,Transaction Fees,Customer_A,West,Revenue,20580.65,Debit Card,Transaction Fees transaction for HR
TXN100028,2025-01-01,Finance,Professional Services,AdvisoryHub,West,Expense,3574.43,Bank Transfer,Professional Services transaction for Finance
TXN100029,2025-01-01,Marketing,Events,ExpoHub,East,Expense,13642.07,Direct Debit,Events transaction for Marketing
TXN100030,2025-01-01,Operations,Logistics,FastFreight,North,Expense,7039.11,UPI,Logistics transaction for Operations
TXN100031,2025-01-01,Customer Support,Transaction Fees,Customer_C,South,Revenue,20461.85,UPI,Transaction Fees transaction for Customer Support
TXN100032,2025-01-01,IT,Hardware,DevicePro,South,Expense,19546.09,Direct Debit,Hardware transaction for IT
TXN100033,2025-01-01,Marketing,Subscription,Customer_D,South,Revenue,25271.89,Credit Card,Subscription transaction for Marketing
TXN100034,2025-01-01,Customer Support,Support Tools,HelpDeskPro,North,Expense,8125.87,UPI,Support Tools transaction for Customer Support
TXN100035,2025-01-01,Operations,Supplies,OfficeMart,East,Expense,6447.12,Bank Transfer,Supplies transaction for Operations
TXN100036,2025-01-01,Operations,Maintenance,FixPro,West,Expense,23208.71,Bank Transfer,Maintenance transaction for Operations
TXN100037,2025-01-01,Operations,Supplies,OfficeMart,East,Expense,14317.79,UPI,Supplies transaction for Operations
TXN100038,2025-01-01,Operations,Subscription,Customer_A,North,Revenue,16356.31,Bank Transfer,Subscription transaction for Operations
TXN100039,2025-01-01,Customer Support,Subscription,Customer_B,North,Revenue,12401.45,Direct Debit,Subscription transaction for Customer Support
TXN100040,2025-01-01,IT,Cloud Services,DataCloud,South,Expense,14452.93,Bank Transfer,Cloud Services transaction for IT
TXN100041,2025-01-01,Marketing,Content,MediaCraft,South,Expense,1882.1,Debit Card,Content transaction for Marketing
TXN100042,2025-01-01,Sales,Transaction Fees,Customer_A,South,Revenue,65859.67,Bank Transfer,Transaction Fees transaction for Sales
TXN100043,2025-01-01,Sales,Subscription,Customer_B,West,Revenue,30319.07,Bank Transfer,Subscription transaction for Sales
TXN100044,2025-01-01,Operations,Service Revenue,Customer_B,East,Revenue,7596.18,Bank Transfer,Service Revenue transaction for Operations
TXN100045,2025-01-01,Marketing,Software,CloudSuite,North,Expense,7055.93,Bank Transfer,Software transaction for Marketing
TXN100046,2025-01-01,Marketing,Content,MediaCraft,South,Expense,3425.1,Bank Transfer,Content transaction for Marketing
TXN100047,2025-01-01,Operations,Supplies,SupplyHub,South,Expense,14169.58,Bank Transfer,Supplies transaction for Operations
TXN100048,2025-01-01,Operations,Service Revenue,Customer_B,North,Revenue,12318.21,Direct Debit,Service Revenue transaction for Operations
TXN100049,2025-01-01,Sales,Subscription,Customer_B,East,Revenue,18072.57,UPI,Subscription transaction for Sales
TXN100050,2025-01-01,Customer Support,Transaction Fees,Customer_C,South,Revenue,22879.83,Credit Card,Transaction Fees transaction for Customer Support
TXN100051,2025-01-01,Customer Support,Training,SkillWorks,North,Expense,3739.25,Debit Card,Training transaction for Customer Support
TXN100052,2025-01-01,Customer Support,Outsourcing,SupportWorks,West,Expense,10688.89,Bank Transfer,Outsourcing transaction for Customer Support
TXN100053,2025-01-01,Operations,Supplies,OfficeMart,West,Expense,6059.31,Debit Card,Supplies transaction for Operations
TXN100054,2025-01-01,Marketing,Software,SoftCore,North,Expense,8241.98,UPI,Software transaction for Marketing
TXN100055,2025-01-01,Marketing,Product Sales,Customer_E,West,Revenue,20797.03,Credit Card,Product Sales transaction for Marketing
TXN100056,2025-01-01,Sales,Client Entertainment,DinePro,East,Expense,3584.56,Debit Card,Client Entertainment transaction for Sales
TXN100057,2025-01-01,IT,Hardware,TechSource,West,Expense,8685.07,Credit Card,Hardware transaction for IT
TXN100058,2025-01-01,Sales,Service Revenue,Customer_C,South,Revenue,22417.6,Debit Card,Service Revenue transaction for Sales
TXN100059,2025-01-01,Marketing,Transaction Fees,Customer_B,West,Revenue,20342.66,Credit Card,Transaction Fees transaction for Marketing
TXN100060,2025-01-01,Marketing,Events,ExpoHub,West,Expense,7652.56,UPI,Events transaction for Marketing
TXN100061,2025-01-01,Operations,Service Revenue,Customer_C,East,Revenue,10184.04,UPI,Service Revenue transaction for Operations
TXN100062,2025-01-01,Sales,Commissions,SalesPartners,East,Expense,11647.98,Credit Card,Commissions transaction for Sales
TXN100063,2025-01-01,Sales,Subscription,Customer_D,North,Revenue,11551.98,Bank Transfer,Subscription transaction for Sales
TXN100064,2025-01-01,Sales,Subscription,Customer_B,North,Revenue,18220.97,Direct Debit,Subscription transaction for Sales
TXN100065,2025-01-01,HR,Product Sales,Customer_C,East,Revenue,16956.33,UPI,Product Sales transaction for HR
TXN100066,2025-01-01,Customer Support,Software,CloudSuite,East,Expense,24755.57,Debit Card,Software transaction for Customer Support
TXN100067,2025-01-01,Finance,Audit,AuditPartners,West,Expense,7032.94,Debit Card,Audit transaction for Finance
TXN100068,2025-01-01,IT,Cloud Services,CloudSuite,South,Expense,13767.32,Bank Transfer,Cloud Services transaction for IT
TXN100069,2025-01-01,Marketing,Service Revenue,Customer_A,West,Revenue,23135.43,Bank Transfer,Service Revenue transaction for Marketing
TXN100070,2025-01-01,Operations,Product Sales,Customer_D,West,Revenue,49256.6,Direct Debit,Product Sales transaction for Operations
TXN100071,2025-01-01,Customer Support,Subscription,Customer_D,North,Revenue,22813.49,Debit Card,Subscription transaction for Customer Support
TXN100072,2025-01-01,Operations,Maintenance,MaintainX,East,Expense,4609.27,Debit Card,Maintenance transaction for Operations
TXN100073,2025-01-01,Operations,Maintenance,MaintainX,East,Expense,21067.45,Credit Card,Maintenance transaction for Operations
TXN100074,2025-01-01,Finance,Transaction Fees,Customer_D,East,Revenue,34833.47,Direct Debit,Transaction Fees transaction for Finance
